artist_id,artist_name,city_id
0,2 Chainz,0
1,2 Pistols,1
2,21 Savage,2
3,24kGoldn,3
4,3 Doors Down,4
5,3OH!3,5
6,42 Dugg,6
7,5 Seconds Of Summer,7
8,50 Cent,8
9,6ix9ine,8
10,6LACK,2
11,A Boogie Wit da Hoodie,8
12,A Great Big World,8
13,A$AP Ferg,8
14,A$AP Rocky,8
15,Ace Hood,9
16,Adam Lambert,10
17,Adam Levine,11
18,Adele,12
19,Afrojack,13
20,AJR,8
21,Akon,14
22,Alessia Cara,15
23,Alex Clare,16
24,Ali,17
25,Alicia Keys,8
26,Aloe Blacc,18
27,AlunaGeorge,12
28,American Authors,19
29,Amine,20
30,Amy Winehouse,21
31,Anderson .Paak,22
32,Andre 3000,2
33,Andy Grammer,11
34,Anna Kendrick,23
35,Anne-Marie,24
36,Ariana Grande,25
37,Arizona Zervas,26
38,Asher Roth,27
39,ATR Son Son,28
40,Ava Max,29
41,Avicii,30
42,Avril Lavigne,31
43,AWOLNATION,11
44,Ayo and Teo,32
45,B.o.B,33
46,Baauer,34
47,Baby Bash,35
48,Baby Boy Da Prince,36
49,Bad Bunny,37
50,Bad Meets Evil,6
51,Bastille,12
52,Bazzi,38
53,beabadoobee,39
54,Bebe Rexha,40
55,Becky G,41
56,BENEE,42
57,benny blanco,43
58,Beyonce,35
59,Big Sean,6
60,Billie Eilish,11
61,Billy Currington,44
62,Billy Ray Cyrus,45
63,Bipolar Sunshine,46
64,Birdman,36
65,BJ The Chicago Kid,47
66,Black Eyed Peas,11
67,blackbear,48
68,Blake Shelton,49
69,Blanco Brown,2
70,BlocBoy JB,50
71,Blue October,35
72,Blueface,11
73,Bobby Shmurda,40
74,Bobby Valentino,2
75,Bon Jovi,51
76,Bone Thugs-N-Harmony,52
77,Bow Wow,53
78,Boys Like Girls,19
79,Brad Paisley,54
80,Bradley Cooper,55
82,Brantley Gilbert,57
83,Brenda Lee,2
84,Brendon Urie,58
85,Brett Young,59
86,Britney Spears,60
87,BRS Kash,2
88,Bruno Mars,61
89,Bryson Tiller,62
90,BTS,63
91,Bubba Sparxxx,64
92,Buckcherry,59
93,Busta Rhymes,8
94,Ca$h Out,2
95,Calboy,65
96,Cali Swag District,41
97,Calvin Harris,66
98,Camila Cabello,67
99,Capital Cities,11
100,Cardi B,8
101,Carly Pearce,68
102,Carly Rae Jepsen,69
103,Carrie Underwood,70
104,Cascada,71
105,Casper Magico,72
106,Cassie,73
107,Cataracs,74
108,Cedric Gervais,75
109,Chad Kroeger,76
110,Chamillionaire,35
111,Chance The Rapper,47
113,Charli XCX,77
114,Charlie Puth,78
115,Chase Rice,79
116,Cheat Codes,11
117,Cher Lloyd,80
118,Cherine Anderson,81
119,Cherish,2
120,Childish Gambino,82
