song_id,title,rank,year
0,Bad Day,1,2006
1,Temperature,2,2006
2,Promiscuous,3,2006
3,You're Beautiful,4,2006
4,Hips Don't Lie,5,2006
5,Unwritten,6,2006
6,Crazy,7,2006
7,Ridin',8,2006
8,SexyBack,9,2006
9,Check On It,10,2006
10,Be Without You,11,2006
11,Grillz,12,2006
12,Over My Head (Cable Car),13,2006
13,Me & U,14,2006
14,Buttons,15,2006
15,Run It!,16,2006
16,So Sick,17,2006
17,It's Goin' Down,18,2006
18,SOS,19,2006
19,I Write Sins Not Tragedies,20,2006
20,Move Along,21,2006
21,London Bridge,22,2006
22,Dani California,23,2006
23,Snap Yo Fingers,24,2006
24,"Lean Wit It, Rock Wit It",25,2006
25,What Hurts The Most,26,2006
26,How To Save A Life,27,2006
27,Unfaithful,28,2006
28,Chasing Cars,29,2006
29,Lips Of An Angel,30,2006
30,Everytime We Touch,31,2006
31,Ain't No Other Man,32,2006
32,"Dance, Dance",33,2006
33,Gold Digger,34,2006
34,Money Maker,35,2006
35,Ms. New Booty,36,2006
36,(When You Gonna) Give It Up To Me,37,2006
37,Photograph,38,2006
38,Because Of You,39,2006
39,Stickwitu,40,2006
40,I'm N Luv (Wit A Stripper),41,2006
41,My Humps,42,2006
42,Where'd You Go,43,2006
43,Yo (Excuse Me Miss),44,2006
44,Walk Away,45,2006
45,Laffy Taffy,46,2006
46,What You Know,47,2006
47,Dirty Little Secret,48,2006
48,Savin' Me,49,2006
49,Don't Forget About Us,50,2006
50,Sexy Love,51,2006
51,U And Dat,52,2006
52,Far Away,53,2006
53,What's Left Of Me,54,2006
54,So What,55,2006
55,Do It To It,56,2006
56,Black Horse & The Cherry Tree,57,2006
57,There It Go! (The Whistle Song),58,2006
58,Shoulder Lean,59,2006
59,Unpredictable,60,2006
60,My Love,61,2006
61,Shake That,62,2006
62,Pullin' Me Back,63,2006
63,Bossy,64,2006
64,Chain Hang Low,65,2006
65,Smack That,66,2006
66,One Wish,67,2006
67,"Sugar, We're Goin' Down",68,2006
68,Gimme That,69,2006
69,I Know You See It,70,2006
70,Who Says You Can't Go Home,71,2006
71,Too Little Too Late,72,2006
72,Touch It,73,2006
73,Rompe,74,2006
74,Deja Vu,75,2006
75,Life Is A Highway,76,2006
76,Call Me When You're Sober,77,2006
77,"Jesus, Take The Wheel",78,2006
78,Show Stopper,79,2006
79,Get Up,80,2006
80,We Be Burnin',81,2006
81,Hate Me,82,2006
82,You And Me,83,2006
83,Beep,84,2006
84,I Think They Like Me,85,2006
85,Say Goodbye,86,2006
86,Waiting On The World To Change,87,2006
87,Soul Survivor,88,2006
88,Pump It,89,2006
89,When I'm Gone,90,2006
90,Hung Up,91,2006
91,Stay Fly,92,2006
92,Love,93,2006
93,When You're Mad,94,2006
94,Why You Wanna,95,2006
95,Stupid Girls,96,2006
96,Feel Good Inc,97,2006
97,I'm Sprung,98,2006
98,Do I Make You Proud,99,2006
99,For You I Will (Confidence),100,2006
100,Irreplaceable,1,2007
101,Umbrella,2,2007
102,The Sweet Escape,3,2007
103,Big Girls Don't Cry,4,2007
104,Buy U A Drank (Shawty Snappin'),5,2007
105,Before He Cheats,6,2007
106,Hey There Delilah,7,2007
107,I Wanna Love You,8,2007
108,Say It Right,9,2007
109,Glamorous,10,2007
110,Don't Matter,11,2007
111,Girlfriend,12,2007
112,Makes Me Wonder,13,2007
113,Party Like A Rockstar,14,2007
114,Smack That,15,2007
115,This Is Why I'm Hot,16,2007
116,It's Not Over,17,2007
117,The Way I Are,18,2007
118,Fergalicious,19,2007
119,Crank That (Soulja Boy),20,2007
120,Give It To Me,21,2007
121,What Goes Around...Comes Around,22,2007
122,Cupid's Chokehold/Breakfast In America,23,2007
123,How To Save A Life,24,2007
124,Home,25,2007
125,My Love,26,2007
126,Stronger,27,2007
127,We Fly High,28,2007
128,U + Ur Hand,29,2007
129,Walk It Out,30,2007
130,Beautiful Girls,31,2007
131,"This Ain't A Scene, It's An Arms Race",32,2007
132,Bartender,33,2007
133,"Pop, Lock & Drop It",34,2007
134,Runaway Love,35,2007
135,Rockstar,36,2007
136,Thnks Fr Th Mmrs,37,2007
137,What I've Done,38,2007
138,Summer Love,39,2007
139,You,40,2007
140,Wait For You,41,2007
141,Last Night,42,2007
142,Make It Rain,43,2007
143,Make Me Better,44,2007
144,Ice Box,45,2007
145,Lips Of An Angel,46,2007
146,Waiting On The World To Change,47,2007
147,Lost Without U,48,2007
148,I'm A Flirt,49,2007
149,If Everyone Cared,50,2007
150,Get It Shawty,51,2007
151,Face Down,52,2007
152,The Way I Live,53,2007
153,Shortie Like Mine,54,2007
154,It Ends Tonight,55,2007
155,A Bay Bay,56,2007
156,Because Of You,57,2007
157,I Tried,58,2007
158,Welcome To The Black Parade,59,2007
159,Shawty,60,2007
160,Chasing Cars,61,2007
161,Beautiful Liar,62,2007
162,SexyBack,63,2007
163,Keep Holding On,64,2007
164,Let It Go,65,2007
165,Apologize,66,2007
