"country_id","state_id","population","state_name"
"0","0","3709000","Georgia"
"0","1","21477737","Florida"
"0","2","39512223","California"
"0","3","2967000","Mississippi"
"0","4","5812000","Colorado"
"0","5","10050000","Michigan"
"1","6","8046100","New South Wales"
"0","7","19840000","New York"
"2","8","56490048","England"
"3","9","22043","South Holland"
"0","10","9288994","New Jersey"
"4","11","171214","Ontario"
"0","12","6168000","Missouri"
"0","13","6985000","Massachusetts"
"5","14","6861739","Casablanca-Settat"
"0","15","1362359","Maine"
"0","16","6165000","Maryland"
"0","17","13002700","Pennsylvania"
"0","18","5896000","Wisconsin"
"6","19","2127006","Stockholm County"
"0","20","29530000","Texas"
"0","21","4624000","Louisiana"
"0","22","3264000","Puerto Rico"
"7","23","11855975","Metro Manila"
"8","24","417910","Auckland"
"0","25","8642000","Virginia"
"0","26","4509000","Kentucky"
"0","27","12670000","Illinois"
"0","28","6975000","Tennessee"
"0","29","11780000","Ohio"
"0","30","1783000","West Virginia"
"0","32","3144000","Nevada"
"0","33","1442000","Hawaii"
"10","34","10349312","Seoul"
"2","35","5404700","Scotland"
"11","36","722045","La Habana"
"4","37","4413973","British Columbia"
"0","38","3987000","Oklahoma"
"12","39","17872763","North Rhine-Westphalia"
"0","40","3606000","Connecticut"
"13","41","4818000","Provence-Alpes-Côte d'Azur"
"4","42","3497881","Alberta"
"0","43","10550000","North Carolina"
"14","44","937700","Kingston"
"13","45","11598866","Île-de-France"
"0","46","5191000","South Carolina"
"0","47","3338000","Utah"
"0","48","2116000","New Mexico"
"0","49","7276000","Arizona"
"15","50","164103","Bejaia"
"16","51","1877155","Bucharest"
"1","52","5052800","Queensland"
"0","53","3026000","Arkansas"
"0","54","7739000","Washington"
"1","55","22881","Victoria"
"17","56","142425","County Wicklow"
"18","57","29802","British Virgin Islands"
"19","58","6299886","Antioquia"
"0","59","552433","D.C."
"0","60","2935000","Kansas"
"0","61","6806000","Indiana"
"0","62","1964000","Nebraska"
"8","63","383406","Waikato"
"20","64","10058121","Gauteng"
"21","65","636533","Vestland"
"0","66","5040000","Alabama"
"22","67","1680271","Region Hovedstaden"
"23","68","5879082","Lazio"
"3","69","2498931","North Holland"
"0","70","5707000","Minnesota"
"12","71","1845229","Hamburg"
"22","72","498481","Funen"
"13","73","2526919","Centre-Val de Loire"
"17","74","88770","Westmeath"
"21","75","580000","Oslo"
"24","76","228231","Höfuðborgarsvæðið"
"14","77","243857","Clarendon"
"1","78","1742700","South Australia"
"0","79","732673","Alaska"
"0","80","105870","United States Virgin Islands"
"25","81","16399","Saint Michael"
"26","82","465186","Prishtinë"
"27","83","313429","Demerara-Mahaica"
"19","84","2166156","Atlántico"
"25","85","180498","Saint James"
"28","86","15388000","Lagos"
"17","87","1024027","Dublin"
"12","88","4012675","Rhineland-Palatinate"
"0","89","4246000","Oregon"
"0","90","1901000","Idaho"
"0","91","1104000","Montana"
"0","92","578803","Wyoming"
"0","93","774948","North Dakota"
"0","94","895376","South Dakota"
"0","95","3193000","Iowa"
"0","96","645570","Vermont"
"0","97","1389000","New Hampshire"
"0","98","1096000","Rhode Island"
"0","99","1003000","Delaware"
"0","100","57910","Marianne Island"
"0","101","55103","American Samoa"
"0","102","170184","Guam"
