"ARTIST_ID","LOCATION_ID","NAME"
"0","0","2 Chainz"
"1","1","2 Pistols"
"2","2","21 Savage"
"3","3","24kGoldn"
"4","4","3 Doors Down"
"5","5","3OH!3"
"6","6","42 Dugg"
"7","7","5 Seconds Of Summer"
"8","8","50 Cent"
"9","8","6ix9ine"
"10","2","6LACK"
"11","8","A Boogie Wit da Hoodie"
"12","8","A Great Big World"
"13","8","A$AP Ferg"
"14","8","A$AP Rocky"
"15","9","Ace Hood"
"16","10","Adam Lambert"
"17","11","Adam Levine"
"18","12","Adele"
"19","13","Afrojack"
"20","8","AJR"
"21","14","Akon"
"22","15","Alessia Cara"
"23","16","Alex Clare"
"24","17","Ali"
"25","8","Alicia Keys"
"26","18","Aloe Blacc"
"27","12","AlunaGeorge"
"28","19","American Authors"
"29","20","Amine"
"30","21","Amy Winehouse"
"31","22","Anderson .Paak"
"32","2","Andre 3000"
"33","11","Andy Grammer"
"34","23","Anna Kendrick"
"35","24","Anne-Marie"
"36","25","Ariana Grande"
"37","26","Arizona Zervas"
"38","27","Asher Roth"
"39","28","ATR Son Son"
"40","29","Ava Max"
"41","30","Avicii"
"42","31","Avril Lavigne"
"43","11","AWOLNATION"
"44","32","Ayo and Teo"
"45","33","B.o.B"
"46","34","Baauer"
"47","35","Baby Bash"
"48","36","Baby Boy Da Prince"
"49","37","Bad Bunny"
"50","6","Bad Meets Evil"
"51","12","Bastille"
"52","38","Bazzi"
"53","39","beabadoobee"
"54","40","Bebe Rexha"
"55","41","Becky G"
"56","42","BENEE"
"57","43","benny blanco"
"58","35","Beyonce"
"59","6","Big Sean"
"60","11","Billie Eilish"
"61","44","Billy Currington"
"62","45","Billy Ray Cyrus"
"63","46","Bipolar Sunshine"
"64","36","Birdman"
"65","47","BJ The Chicago Kid"
"66","11","Black Eyed Peas"
"67","48","blackbear"
"68","49","Blake Shelton"
"69","2","Blanco Brown"
"70","50","BlocBoy JB"
"71","35","Blue October"
"72","11","Blueface"
"73","40","Bobby Shmurda"
"74","2","Bobby Valentino"
"75","51","Bon Jovi"
"76","52","Bone Thugs-N-Harmony"
"77","53","Bow Wow"
"78","19","Boys Like Girls"
"79","54","Brad Paisley"
"80","55","Bradley Cooper"
"81","","Brandy 'Ms. B.' Hambrick"
"82","57","Brantley Gilbert"
"83","2","Brenda Lee"
"84","58","Brendon Urie"
"85","59","Brett Young"
"86","60","Britney Spears"
"87","2","BRS Kash"
"88","61","Bruno Mars"
"89","62","Bryson Tiller"
"90","63","BTS"
