song_id,title,artist,rank,year
0,Bad Day,Daniel Powter,1,2006
1,Temperature,Sean Paul,2,2006
2,Promiscuous,Nelly Furtado Featuring Timbaland,3,2006
3,You're Beautiful,James Blunt,4,2006
4,Hips Don't Lie,Shakira Featuring Wyclef Jean,5,2006
5,Unwritten,Natasha Bedingfield,6,2006
6,Crazy,Gnarls Barkley,7,2006
7,Ridin',Chamillionaire Featuring Krayzie Bone,8,2006
8,SexyBack,Justin Timberlake,9,2006
9,Check On It,Beyonce Featuring Slim Thug,10,2006
10,Be Without You,Mary J. Blige,11,2006
11,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",12,2006
12,Over My Head (Cable Car),The Fray,13,2006
13,Me & U,Cassie,14,2006
14,Buttons,The Pussycat Dolls Featuring Snoop Dogg,15,2006
15,Run It!,Chris Brown,16,2006
16,So Sick,Ne-Yo,17,2006
17,It's Goin' Down,Yung Joc,18,2006
18,SOS,Rihanna,19,2006
19,I Write Sins Not Tragedies,Panic! At The Disco,20,2006
20,Move Along,The All-American Rejects,21,2006
21,London Bridge,Fergie,22,2006
22,Dani California,Red Hot Chili Peppers,23,2006
23,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,24,2006
24,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,2006
25,What Hurts The Most,Rascal Flatts,26,2006
26,How To Save A Life,The Fray,27,2006
27,Unfaithful,Rihanna,28,2006
28,Chasing Cars,Snow Patrol,29,2006
29,Lips Of An Angel,Hinder,30,2006
30,Everytime We Touch,Cascada,31,2006
31,Ain't No Other Man,Christina Aguilera,32,2006
32,"Dance, Dance",Fall Out Boy,33,2006
33,Gold Digger,Kanye West Featuring Jamie Foxx,34,2006
34,Money Maker,Ludacris Featuring Pharrell,35,2006
35,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,36,2006
36,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,37,2006
37,Photograph,Nickelback,38,2006
38,Because Of You,Kelly Clarkson,39,2006
39,Stickwitu,The Pussycat Dolls,40,2006
40,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,41,2006
41,My Humps,The Black Eyed Peas,42,2006
42,Where'd You Go,Fort Minor Featuring Holly Brook,43,2006
43,Yo (Excuse Me Miss),Chris Brown,44,2006
44,Walk Away,Kelly Clarkson,45,2006
45,Laffy Taffy,D4L,46,2006
46,What You Know,T.I.,47,2006
47,Dirty Little Secret,The All-American Rejects,48,2006
48,Savin' Me,Nickelback,49,2006
49,Don't Forget About Us,Mariah Carey,50,2006
50,Sexy Love,Ne-Yo,51,2006
51,U And Dat,E-40 Featuring T-Pain & Kandi Girl,52,2006
52,Far Away,Nickelback,53,2006
53,What's Left Of Me,Nick Lachey,54,2006
54,So What,Field Mob Featuring Ciara,55,2006
55,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,56,2006
56,Black Horse & The Cherry Tree,KT Tunstall,57,2006
57,There It Go! (The Whistle Song),Juelz Santana,58,2006
58,Shoulder Lean,Young Dro Featuring T.I.,59,2006
59,Unpredictable,Jamie Foxx Featuring Ludacris,60,2006
60,My Love,Justin Timberlake Featuring T.I.,61,2006
61,Shake That,Eminem Featuring Nate Dogg,62,2006
62,Pullin' Me Back,Chingy Featuring Tyrese,63,2006
63,Bossy,Kelis Featuring Too $hort,64,2006
64,Chain Hang Low,Jibbs,65,2006
65,Smack That,Akon Featuring Eminem,66,2006
66,One Wish,Ray J,67,2006
67,"Sugar, We're Goin' Down",Fall Out Boy,68,2006
68,Gimme That,Chris Brown Featuring Lil Wayne,69,2006
69,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,70,2006
70,Who Says You Can't Go Home,Bon Jovi,71,2006
71,Too Little Too Late,JoJo,72,2006
72,Touch It,Busta Rhymes,73,2006
73,Rompe,Daddy Yankee,74,2006
74,Deja Vu,Beyonce Featuring Jay Z,75,2006
75,Life Is A Highway,Rascal Flatts,76,2006
76,Call Me When You're Sober,Evanescence,77,2006
77,"Jesus, Take The Wheel",Carrie Underwood,78,2006
78,Show Stopper,Danity Kane,79,2006
79,Get Up,Ciara Featuring Chamillionaire,80,2006
80,We Be Burnin',Sean Paul,81,2006
81,Hate Me,Blue October,82,2006
82,You And Me,Lifehouse,83,2006
83,Beep,The Pussycat Dolls Featuring will.i.am,84,2006
84,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",85,2006
85,Say Goodbye,Chris Brown,86,2006
86,Waiting On The World To Change,John Mayer,87,2006
87,Soul Survivor,Young Jeezy Featuring Akon,88,2006
88,Pump It,The Black Eyed Peas,89,2006
89,When I'm Gone,Eminem,90,2006
90,Hung Up,Madonna,91,2006
91,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,92,2006
92,Love,Keyshia Cole,93,2006
93,When You're Mad,Ne-Yo,94,2006
94,Why You Wanna,T.I.,95,2006
95,Stupid Girls,P!nk,96,2006
96,Feel Good Inc,Gorillaz,97,2006
97,I'm Sprung,T-Pain,98,2006
98,Do I Make You Proud,Taylor Hicks,99,2006
99,For You I Will (Confidence),Teddy Geiger,100,2006
100,Irreplaceable,Beyonce,1,2007
101,Umbrella,Rihanna Featuring Jay-Z,2,2007
102,The Sweet Escape,Gwen Stefani Featuring Akon,3,2007
103,Big Girls Don't Cry,Fergie,4,2007
104,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,5,2007
105,Before He Cheats,Carrie Underwood,6,2007
106,Hey There Delilah,Plain White T's,7,2007
107,I Wanna Love You,Akon Featuring Snoop Dogg,8,2007
108,Say It Right,Nelly Furtado,9,2007
109,Glamorous,Fergie Featuring Ludacris,10,2007
110,Don't Matter,Akon,11,2007
111,Girlfriend,Avril Lavigne,12,2007
112,Makes Me Wonder,Maroon 5,13,2007
113,Party Like A Rockstar,Shop Boyz,14,2007
114,Smack That,Akon Featuring Eminem,15,2007
115,This Is Why I'm Hot,Mims,16,2007
116,It's Not Over,Daughtry,17,2007
117,The Way I Are,Timbaland Featuring Keri Hilson,18,2007
118,Fergalicious,Fergie,19,2007
119,Crank That (Soulja Boy),Soulja Boy Tell'em,20,2007
120,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,21,2007
121,What Goes Around...Comes Around,Justin Timberlake,22,2007
122,Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,23,2007
123,How To Save A Life,The Fray,24,2007
124,Home,Daughtry,25,2007
125,My Love,Justin Timberlake Featuring T.I.,26,2007
126,Stronger,Kanye West,27,2007
127,We Fly High,Jim Jones,28,2007
128,U + Ur Hand,P!nk,29,2007
129,Walk It Out,Unk,30,2007
130,Beautiful Girls,Sean Kingston,31,2007
131,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,32,2007
132,Bartender,T-Pain Featuring Akon,33,2007
133,"Pop, Lock & Drop It",Huey,34,2007
134,Runaway Love,Ludacris Featuring Mary J. Blige,35,2007
135,Rockstar,Nickelback,36,2007
136,Thnks Fr Th Mmrs,Fall Out Boy,37,2007
137,What I've Done,Linkin Park,38,2007
138,Summer Love,Justin Timberlake,39,2007
139,You,Lloyd Featuring Lil Wayne,40,2007
140,Wait For You,Elliott Yamin,41,2007
141,Last Night,Diddy Featuring Keyshia Cole,42,2007
142,Make It Rain,Fat Joe Featuring Lil Wayne,43,2007
143,Make Me Better,Fabolous Featuring Ne-Yo,44,2007
144,Ice Box,Omarion,45,2007
145,Lips Of An Angel,Hinder,46,2007
146,Waiting On The World To Change,John Mayer,47,2007
147,Lost Without U,Robin Thicke,48,2007
148,I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),49,2007
149,If Everyone Cared,Nickelback,50,2007
150,Get It Shawty,Lloyd,51,2007
151,Face Down,The Red Jumpsuit Apparatus,52,2007
152,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,53,2007
153,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,54,2007
154,It Ends Tonight,The All-American Rejects,55,2007
155,A Bay Bay,Hurricane Chris,56,2007
156,Because Of You,Ne-Yo,57,2007
157,I Tried,Bone Thugs-N-Harmony Featuring Akon,58,2007
158,Welcome To The Black Parade,My Chemical Romance,59,2007
159,Shawty,Plies Featuring T-Pain,60,2007
160,Chasing Cars,Snow Patrol,61,2007
161,Beautiful Liar,Beyonce & Shakira,62,2007
162,SexyBack,Justin Timberlake,63,2007
163,Keep Holding On,Avril Lavigne,64,2007
164,Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,65,2007
165,Apologize,Timbaland Featuring OneRepublic,66,2007
166,Bubbly,Colbie Caillat,67,2007
167,Like A Boy,Ciara,68,2007
168,Who Knew,P!nk,69,2007
169,Never Again,Kelly Clarkson,70,2007
170,Promise,Ciara,71,2007
171,Bed,J. Holiday,72,2007
172,Throw Some D's,Rich Boy Featuring Polow Da Don,73,2007
173,Rehab,Amy Winehouse,74,2007
174,Big Things Poppin' (Do It),T.I.,75,2007
175,No One,Alicia Keys,76,2007
176,The Great Escape,Boys Like Girls,77,2007
177,2 Step,Unk,78,2007
178,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,79,2007
179,Go Getta,Young Jeezy Featuring R. Kelly,80,2007
180,Here (In Your Arms),Hellogoodbye,81,2007
181,On The Hotline,Pretty Ricky,82,2007
182,Wind It Up,Gwen Stefani,83,2007
183,Cyclone,Baby Bash Featuring T-Pain,84,2007
184,Break It Off,Rihanna & Sean Paul,85,2007
185,First Time,Lifehouse,86,2007
186,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,87,2007
187,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,88,2007
188,Teardrops On My Guitar,Taylor Swift,89,2007
189,Shut Up And Drive,Rihanna,90,2007
190,Snow ((Hey Oh)),Red Hot Chili Peppers,91,2007
191,Money Maker,Ludacris Featuring Pharrell,92,2007
192,Kiss Kiss,Chris Brown Featuring T-Pain,93,2007
193,Far Away,Nickelback,94,2007
194,Rock Yo Hips,Crime Mob Featuring Lil Scrappy,95,2007
195,LoveStoned,Justin Timberlake,96,2007
196,Better Than Me,Hinder,97,2007
197,Paralyzer,Finger Eleven,98,2007
198,That's That,Snoop Dogg Featuring R. Kelly,99,2007
199,Same Girl,R. Kelly Duet With Usher,100,2007
200,Low,Flo Rida Featuring T-Pain,1,2008
201,Bleeding Love,Leona Lewis,2,2008
202,No One,Alicia Keys,3,2008
203,Lollipop,Lil Wayne Featuring Static Major,4,2008
204,Apologize,Timbaland Featuring OneRepublic,5,2008
205,No Air,Jordin Sparks Duet With Chris Brown,6,2008
206,Love Song,Sara Bareilles,7,2008
207,Love In This Club,Usher Featuring Young Jeezy,8,2008
208,With You,Chris Brown,9,2008
209,Forever,Chris Brown,10,2008
210,Sexy Can I,Ray J & Yung Berg,11,2008
211,Take A Bow,Rihanna,12,2008
212,Viva La Vida,Coldplay,13,2008
213,I Kissed A Girl,Katy Perry,14,2008
214,Whatever You Like,T.I.,15,2008
215,Disturbia,Rihanna,16,2008
216,Don't Stop The Music,Rihanna,17,2008
217,Pocketful Of Sunshine,Natasha Bedingfield,18,2008
218,Kiss Kiss,Chris Brown Featuring T-Pain,19,2008
219,Closer,Ne-Yo,20,2008
220,Bubbly,Colbie Caillat,21,2008
221,Touch My Body,Mariah Carey,22,2008
222,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,23,2008
223,So What,P!nk,24,2008
224,Paralyzer,Finger Eleven,25,2008
225,Clumsy,Fergie,26,2008
226,I'm Yours,Jason Mraz,27,2008
227,Leavin',Jesse McCartney,28,2008
